Active,SKU,Existing QTY,New Qty
True,JA18297_000198,0,0
True,JP247862,5,5
True,JP247863,3,3
True,JP247864,4,4
True,JP247865,4,4
True,JP247866,4,4
True,JP247867,3,3
True,JA18297_000282,0,0
True,JP247855,0,0
True,JP247856,0,0
True,JP247857,0,0
True,JP247858,0,0
True,JP247859,3,3
True,JP247860,3,3
True,JP247956,12,12
True,JP247957,27,27
True,JP247958,31,33
True,JP247959,32,32
True,JP247960,9,9
True,JP247961,0,0
True,JA18288PWC_000191,0,0
True,JP247977,9,9
True,JP247978,24,24
True,JP247979,28,27
True,JP247980,37,36
True,JP247981,36,36
True,JP247982,16,16
True,JA18288PWC_000185,0,0
True,JP247949,20,20
True,JP247950,48,46
True,JP247951,97,97
True,JP247952,73,73
True,JP247953,11,10
True,JP247954,5,5
True,JA6201_000185,6,0
True,JP209595,0,0
True,JP209596,0,0
True,JP209552,6,5
True,JP209553,0,0
True,JA18142_000283,0,0
True,JA18298_000215,0,0
True,JP249565,9,9
True,JP248271,0,0
True,JP248272,1,1
True,JP248273,0,0
True,JP248274,0,0
True,JP248275,2,2
True,JA18298_00010,0,0
True,JP248289,8,7
True,JP248290,2,2
True,JP248291,6,6
True,JP248292,5,5
True,JP248293,10,10
True,JP248294,2,2
True,JA18207_000275,0,0
True,JP248324,0,0
True,JP248325,2,2
True,JP248326,0,0
True,JP248327,8,8
True,JP248328,3,3
True,JP248329,5,5
True,JP248358,19,19
True,JA18207_000185,0,0
True,JP248352,14,14
True,JP248353,15,15
True,JP248354,14,14
True,JP248355,16,16
True,JP248356,31,31
True,JP248357,45,45
True,JP248362,25,25
True,JA6207_000192,70,0
True,JP217020,0,0
True,JP217021,14,14
True,JP217022,2,1
True,JP217023,26,23
True,JP217024,24,24
True,JP217025,4,4
True,JA18208_000154,0,0
True,JP253080,4,4
True,JP253081,1,1
True,JP253082,2,2
True,JP253083,6,5
True,JP253084,16,16
True,JP253085,18,18
True,JP253086,5,5
True,JA18208_000237,0,0
True,JP253088,0,0
True,JP253089,0,0
True,JP253090,0,0
True,JP253091,0,0
True,JP253092,0,0
True,JP253093,6,6
True,JP253094,8,8
True,JA18208_000222,0,0
True,JA18206_000185,0,0
True,JP248406,8,8
True,JP248407,3,3
True,JP248408,9,9
True,JP248409,8,8
True,JP248410,3,3
True,JP248411,10,10
True,JA18294_000215,0,0
True,JP248602,10,10
True,JP248603,15,15
True,JP248604,13,12
True,JP248605,11,10
True,JP248606,20,19
True,JA18294_00010,0,0
True,JP248614,12,12
True,JP248615,9,9
True,JP248616,7,7
True,JP248617,7,7
True,JP248618,11,11
True,JA18294_000191,0,0
True,JA18294_000249,0,0
True,JP248620,1,1
True,JP248621,0,0
True,JP248622,0,0
True,JP248623,0,0
True,JP248624,0,0
True,JA18294_000210,0,0
True,JP248626,3,3
True,JP248627,0,0
True,JP248628,0,0
True,JP248629,0,0
True,JP248630,0,0
True,JA18211C_000191,0,0
True,JP252465,33,33
True,JP252466,35,35
True,JP252467,17,17
True,JP252468,1,1
True,JA18211C_000154,0,0
True,JP252470,10,10
