Active,SKU,Existing QTY,New Qty
True,CK001-CRO-2XS,49,49
True,CK001-CRO-3XS,22,22
True,CK001-CRO-4XS,18,18
True,CK001-KOA-2XS,128,128
True,CK001-KOA-3XS,130,131
True,CK001-KOA-4XS,22,22
True,CK003-BLK-L,1,1
True,CK003-BLK-M,-2,0
True,CK003-BLK-S,1,2
True,CK003-BLK-XS,-1,0
True,CK004-BLK-L,-1,0
True,CK004-BLK-M,1,1
True,CK004-BLK-S,3,3
True,CK004-BLK-XS,12,12
True,CL001-BLK-L,9,1
True,CL001-BLK-M,16,6
True,CL001-BLK-S,22,14
True,CL001-BLK-XS,7,1
True,CL001-LGY-L,1,2
True,CL001-LGY-M,12,12
True,CL001-LGY-S,12,12
True,CL001-LGY-XS,4,4
True,CL002-BLK-L,4,0
True,CL002-BLK-M,17,9
True,CL002-BLK-S,4,0
True,CL002-BLK-XS,6,2
True,CL002-LGY-L,1,1
True,CL002-LGY-M,0,0
True,CL002-LGY-S,3,3
True,CL002-LGY-XS,6,6
True,CM001-LGY-L,0,0
True,CM001-LGY-M,2,2
True,CM001-LGY-S,0,0
True,CM001-LGY-XL,-1,0
True,CU001-BLK-2XL,8,8
True,CU001-BLK-L,0,0
True,CU001-BLK-M,0,0
True,CU001-BLK-S,0,0
True,CU001-BLK-XL,0,0
True,CU001-BLK-XS,20,20
True,DK001-BLK-L,41,41
True,DK001-BLK-M,43,43
True,DK001-BLK-S,19,19
True,DK001-BLK-XS,7,7
True,DK001-HPK-L,8,8
True,DK001-HPK-M,9,9
True,DK001-HPK-S,3,3
True,DK001-HPK-XS,1,1
True,DK002-BLK-L,84,84
True,DK002-BLK-M,87,87
True,DK002-BLK-S,56,56
True,DK002-BLK-XS,18,18
True,DK002-FBL-L,34,34
True,DK002-FBL-M,31,31
True,DK002-FBL-S,23,23
True,DK002-FBL-XS,4,4
True,DK002-HPK-L,34,34
True,DK002-HPK-M,33,33
True,DK002-HPK-S,20,20
True,DK002-HPK-XS,4,4
True,DL002-BLK-L,116,116
True,DL002-BLK-M,161,162
True,DL002-BLK-S,92,92
True,DL002-BLK-XS,28,26
True,DL002-WHT-L,7,7
True,DL002-WHT-M,24,24
True,DL002-WHT-S,17,17
True,DL002-WHT-XS,10,10
True,DM002-BLK-L,154,151
True,DM002-BLK-M,53,52
True,DM002-BLK-S,66,66
True,DM002-BLK-XL,32,30
True,DU002-BLK-L,23,22
