Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
FINDSNB19199,MKL_1895013_263,sports & outdoors > winter sports > snowboards,Snowboards,Matrix Snowboard Bliss Flat Sidewall 153cm,New,349.00,5,,SMW,yes,,
FINDSNB19505,MKL_1895013_183,sports & outdoors > winter sports > snowboards,Snowboards,Sabrina Snowboard Cruzer Camber Sidewall Powder Board - 152cm,New,349.00,0,,SMW,no,,
FINDSNB19213,MKL_1894842_63,sports & outdoors > winter sports > snowboards,Snowboards,VE Snowboard Life  Camber Sidwall 152cm - White,New,349.00,1,,SMW,yes,,
FINDSKI19048,MKL_1894708_251,sports & outdoors > winter sports > skis,Skis,Five Forty Snow Skis /Green Camber Sidewall 155cm - Black,New,399.00,1,,SMW,yes,,
FINDSNB19245,MKL_1894952_138,sports & outdoors > winter sports > snowboards,Snowboards,Aria Snowboard Phase  Camber Capped 151cm - Red,New,299.00,1,,SMW,yes,,
FINDSNB19004,MKL_1894952_59,sports & outdoors > winter sports > snowboards,Snowboards,Five Forty Snowboard Shattered - camber Sidewall 163cm - Red,New,349.00,0,,SMW,no,,
FINDSNB19098,MKL_1894952_162,sports & outdoors > winter sports > snowboards,Snowboards,VE Snowboard Ve Team Camber Capped 157cm,New,299.00,0,,SMW,no,,
FINDSNB19F917,MKL_1894952_41,sports & outdoors > winter sports > snowboards,Snowboards,FIND Venture Sidewall Snowboard 151cm,New,469.00,14,,SMW,yes,,
FINDSNB19034,MKL_1894952_66,sports & outdoors > winter sports > snowboards,Snowboards,Snowjam Snowboard  Rocker Rocker Sidewall 159cm - White,New,349.00,0,,SMW,no,,
FINDSNB19437,MKL_1894952_129,sports & outdoors > winter sports > snowboards,Snowboards,Lamar Snowboard Prima Flat Sidewall 138cm,New,289.00,2,,SMW,yes,,
FIND19SOFTProBLUE59P,MKL_1894708_198,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 5'9"" Tuffpro Quadfish  Soft Surfboard Softboard + Padded Silver Cover + Leash Package - Blue",New,309.00,0,,SMW,no,,
FINDSNB19006,MKL_1894952_57,sports & outdoors > winter sports > snowboards,Snowboards,Five Forty Snowboard Particle Camber Capped 163cm,New,299.00,0,,SMW,no,,
FINDSNB19081,MKL_1894708_108,sports & outdoors > winter sports > snowboards,Snowboards,Aria Snowboard Draw Liner  Camber Capped 157.5cm - Green,New,299.00,0,,SMW,no,,
FINDSNB19222,MKL_1894952_136,sports & outdoors > winter sports > snowboards,Snowboards,Aria Snowboard Xross Boarder /Yellow Camber Capped 151.5cm - Blue,New,299.00,1,,SMW,yes,,
